Ticker,Current Price,Date,8d MA,8d MA %,21d MA,21d MA %,50d MA,50d MA %,200d MA,200d MA %
XLK,159.11,2026-04-29,157.62,0.95,148.36,7.25,142.28,11.83,140.43,13.3
XLF,51.92,2026-04-29,51.99,-0.14,51.31,1.2,50.58,2.66,52.3,-0.72
XLV,142.84,2026-04-29,145.03,-1.51,146.69,-2.63,149.54,-4.48,145.85,-2.06
XLY,116.84,2026-04-29,118.24,-1.18,114.89,1.7,113.75,2.71,116.4,0.38
XLC,115.29,2026-04-29,116.7,-1.21,115.22,0.06,114.83,0.4,113.82,1.29
XLI,169.93,2026-04-29,172.04,-1.23,170.02,-0.05,169.49,0.26,158.4,7.28
XLP,82.92,2026-04-29,82.67,0.3,82.25,0.82,83.81,-1.06,80.2,3.39
XLE,59.03,2026-04-29,56.85,3.83,57.47,2.71,57.34,2.95,47.82,23.44
XLU,45.68,2026-04-29,45.74,-0.14,46.14,-1.01,46.17,-1.06,43.65,4.65
XLRE,43.64,2026-04-29,43.84,-0.45,43.03,1.41,42.55,2.57,41.21,5.89
XLB,50.96,2026-04-29,51.71,-1.46,51.4,-0.86,50.8,0.32,46.65,9.25
